contig_ID	coverage	taxid	domain	phylum	class	order	family	genus	species
c_5501_S5_17145	52.2020	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17146	18.9242	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17147	191.3861	1955422	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp. KIM
c_5501_S5_17148	10.9758	2044944	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	NA	NA	Sphingobacteriales bacterium
c_5501_S5_17149	24.7763	29580	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	NA
c_5501_S5_17150	130.2700	1437444	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	Hydrogenophaga sp. T4
c_5501_S5_17151	15.0825	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17152	90.8670	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17153	240.9559	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17154	187.8082	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17155	15.4227	119060	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	NA	NA
c_5501_S5_17156	30.3338	75682	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	NA	NA
c_5501_S5_17157	15.0306	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17158	73.9701	1747903	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	Janthinobacterium psychrotolerans
c_5501_S5_17159	17.3461	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17160	19.5078	2	Bacteria	NA	NA	NA	NA	NA	NA
c_5501_S5_17161	10.8827	106589	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	NA
c_5501_S5_17162	18.4926	945844	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia oculi
c_5501_S5_17163	19.9401	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17164	162.4153	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17165	90.3821	2653152	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp. 9I
c_5501_S5_17166	330.6807	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5501_S5_17167	145.9925	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17168	371.5079	1224	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
c_5501_S5_17169	31.4164	1633200	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA	Bacteroidales bacterium Barb4
c_5501_S5_17170	86.7290	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5501_S5_17171	25.4587	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17172	14.1528	106589	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	NA
c_5501_S5_17173	22.4100	370959	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas mucosissima
c_5501_S5_17174	17.1694	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17175	17.0301	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17176	145.0013	1224	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
c_5501_S5_17177	22.1808	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17178	143.1286	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17179	19.4427	2653152	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp. 9I
c_5501_S5_17180	22.0237	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17181	240.0066	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5501_S5_17182	11.0798	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17183	12.7149	33882	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	NA
c_5501_S5_17184	15.7698	1871070	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	NA	Oxalobacteraceae bacterium
c_5501_S5_17185	20.0085	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17186	19.0652	75682	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	NA	NA
c_5501_S5_17187	181.8934	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17188	15.7273	41297	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA
c_5501_S5_17189	19.4623	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17190	90.2985	544911	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia niastensis
c_5501_S5_17191	200.1635	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5501_S5_17192	279.7416	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17193	26.4015	1437444	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	Hydrogenophaga sp. T4
c_5501_S5_17194	20.8483	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17195	19.0531	28216	Bacteria	Proteobacteria	Betaproteobacteria	NA	NA	NA	NA
c_5501_S5_17196	316.1057	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5501_S5_17197	10.0351	119060	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	NA	NA
c_5501_S5_17198	15.5770	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17199	117.0860	2172652	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter sp. 774
c_5501_S5_17200	137.8858	286638	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia alkalitolerans
c_5501_S5_17201	36.8955	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17202	14.5253	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17203	17.8078	1871070	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	NA	Oxalobacteraceae bacterium
c_5501_S5_17204	17.6834	1224	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
c_5501_S5_17205	22.0672	13687	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
c_5501_S5_17206	138.8584	2	Bacteria	NA	NA	NA	NA	NA	NA
c_5501_S5_17207	83.5596	1502852	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp. LC238
c_5501_S5_17208	25.4221	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17209	17.3616	106589	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	NA
c_5501_S5_17210	205.2079	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17211	27.9302	119060	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	NA	NA
c_5501_S5_17212	19.8243	273677	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium oleivorans
c_5501_S5_17213	24.4407	2528176	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Oscillochloridaceae	Candidatus Chloroploca	Candidatus Chloroploca sp. M-50
c_5501_S5_17214	80.3441	1549812	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp. BSC265
c_5501_S5_17215	20.4570	1855315	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus sp. YR651
c_5501_S5_17216	11.5830	41297	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA
c_5501_S5_17217	9.5505	13690	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium yanoikuyae
c_5501_S5_17218	90.1610	2609279	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5501_S5_17219	16.1513	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17220	24.4912	119060	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	NA	NA
c_5501_S5_17221	20.3260	33882	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	NA
c_5501_S5_17222	119.5773	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17223	91.8133	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17224	12.3093	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17225	57.6550	2609279	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5501_S5_17226	18.5000	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17227	93.0344	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17228	55.9464	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17229	105.3762	2172652	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter sp. 774
c_5501_S5_17230	21.6083	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17231	32.1088	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17232	16.5471	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17233	199.6226	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17234	50.4248	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17235	22.4079	273677	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium oleivorans
c_5501_S5_17236	19.6753	544911	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia niastensis
c_5501_S5_17237	67.8888	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17238	21.8014	344880	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas dokdonensis
c_5501_S5_17239	22.0842	306	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp.
c_5501_S5_17240	78.7464	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17241	43.7574	3988	Eukaryota	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Ricinus	Ricinus communis
c_5501_S5_17242	33.5672	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17243	485.8539	12916	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	NA
c_5501_S5_17244	20.5935	1268	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	NA	NA
c_5501_S5_17245	20.1148	2078787	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. JV551A1
c_5501_S5_17246	19.9388	13687	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
c_5501_S5_17247	184.9813	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5501_S5_17248	24.1444	13687	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
c_5501_S5_17249	92.5671	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5501_S5_17250	22.9102	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17251	293.3705	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5501_S5_17252	12.4234	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17253	16.5779	105219	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia mannitolilytica
c_5501_S5_17254	212.5738	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17255	43.3661	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17256	88.3841	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17257	61.8147	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5501_S5_17258	20.7556	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17259	563.1030	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17260	23.7328	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17261	230.1847	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5501_S5_17262	15.4906	2653152	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp. 9I
c_5501_S5_17263	454.1177	12916	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	NA
c_5501_S5_17264	17.2480	273677	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium oleivorans
c_5501_S5_17265	12.9977	85006	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	NA	NA	NA
