contig_ID	coverage	taxid	domain	phylum	class	order	family	genus	species
c_5492_S3_14725	305.2833	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5492_S3_14726	23.3757	2079199	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp. Mn16-1_5
c_5492_S3_14727	96.0300	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5492_S3_14728	12.3698	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14729	12.4104	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14730	8.4452	1871070	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	NA	Oxalobacteraceae bacterium
c_5492_S3_14731	133.8172	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14732	17.1195	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14733	208.6078	1224	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
c_5492_S3_14734	213.8131	2609279	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5492_S3_14735	68.0405	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14736	244.1360	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14737	55.8585	364039	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Azohydromonas	Azohydromonas australica
c_5492_S3_14738	57.4026	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14739	54.8030	364039	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Azohydromonas	Azohydromonas australica
c_5492_S3_14740	60.6629	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14741	287.8676	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14742	30.2383	2590212	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Azohydromonas	Azohydromonas sp. 13393
c_5492_S3_14743	16.0230	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14744	7.2781	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14745	12.9766	82541	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus gilardii
c_5492_S3_14746	11.1650	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14747	53.8408	75	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	NA
c_5492_S3_14748	27.0253	75	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	NA
c_5492_S3_14749	14.3929	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14750	379.9175	1224	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
c_5492_S3_14751	8.4938	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14752	219.7352	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14753	7.3660	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14754	34.9108	80864	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA	NA
c_5492_S3_14755	8.3288	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14756	354.0565	2609279	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5492_S3_14757	24.3848	106589	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	NA
c_5492_S3_14758	14.5887	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14759	47.8625	75	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	NA
c_5492_S3_14760	95.8816	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14761	458.1631	1224	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
c_5492_S3_14762	138.2982	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5492_S3_14763	49.5225	75	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	NA
c_5492_S3_14764	19.3448	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14765	44.5908	2172652	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter sp. 774
c_5492_S3_14766	11.5092	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14767	18.9592	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14768	8.5498	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14769	12.7704	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14770	15.7000	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14771	124.4969	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14772	233.5891	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14773	11.5682	1224	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
c_5492_S3_14774	13.4692	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14775	4.9371	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14776	380.6186	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14777	12.6244	344880	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas dokdonensis
c_5492_S3_14778	102.9565	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5492_S3_14779	10.6558	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14780	11.6373	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14781	6.4820	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14782	278.2213	2609279	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5492_S3_14783	52.7918	364039	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Azohydromonas	Azohydromonas australica
c_5492_S3_14784	242.1020	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14785	250.5415	2609279	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5492_S3_14786	5.2727	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14787	239.2095	1224	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
c_5492_S3_14788	282.8765	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14789	241.5239	85698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter xylosoxidans
c_5492_S3_14790	6.0241	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14791	39.9432	1224	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
c_5492_S3_14792	9.1000	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14793	13.4943	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14794	348.8245	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
